127.0.0.1 - - [12/Apr/2017:14:09:00 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:09:04 +0530] "GET /frontend/ HTTP/1.1" 200 4739
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:09:05 +0530] "GET /frontend/image/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:09:05 +0530] "GET /frontend/image/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:09:05 +0530] "GET /frontend/image/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:09:09 +0530] "GET /frontend/clicklog HTTP/1.1" 200 5257
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:09:23 +0530] "POST /frontend/validation HTTP/1.1" 500 17537
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:10:00 +0530] "POST /frontend/validation HTTP/1.1" 200 4152
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:10:03 +0530] "GET /frontend/selProductView HTTP/1.1" 200 5015
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:10:10 +0530] "GET /frontend/addtocart/Mob100 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:10:10 +0530] "GET /frontend/mycart HTTP/1.1" 200 5084
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:10:10 +0530] "GET /frontend/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:10:23 +0530] "POST /frontend/validation HTTP/1.1" 200 4152
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:10:25 +0530] "GET /frontend/mycart HTTP/1.1" 200 5084
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:10:25 +0530] "GET /frontend/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:10:47 +0530] "POST /frontend/validation HTTP/1.1" 200 4152
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:13:16 +0530] "POST /frontend/validation HTTP/1.1" 200 4152
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:13:18 +0530] "GET /frontend/selProductView HTTP/1.1" 200 5015
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:13:24 +0530] "GET /frontend/addtocart/Mob101 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:13:24 +0530] "GET /frontend/mycart HTTP/1.1" 200 5260
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:13:24 +0530] "GET /frontend/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:15:48 +0530] "GET /frontend/mycart HTTP/1.1" 200 5260
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:15:48 +0530] "GET /frontend/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:15:57 +0530] "GET /frontend/selProductView HTTP/1.1" 200 5015
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:16:02 +0530] "GET /frontend/selProductView HTTP/1.1" 200 5015
